name_ko,name_en,tasting_note,roasting,process,variety,altitude,washing_station,region,release_ym,category,no,sensory_narrative
에콰도르 라 카롤리나 시드라,ECUADOR LA CAROLINA SIDRA,"허니서클, 재스민 차, 애플망고, 팜 슈거",미디엄 라이트,워시드,시드라,"1,300 MASL",,퀴토,2024년 12월,싱글오리진,387.0,"퀴토 지역의 개성이 담긴 이 커피에서는 허니서클이 먼저 맑게 피어나고, 이어 재스민 차가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 애플망고를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 시드라 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
에티오피아 부쿠 아벨,ETHIOPIA BUKU ABEL,"딸기, 라벤더, 복숭아, 솜사탕",미디엄,내추럴,에어룸,"2,365 MASL",,부쿠 아벨,2024년 12월,싱글오리진,386.0,"부쿠 아벨 지역의 개성이 담긴 이 커피에서는 딸기가 먼저 맑게 피어나고, 이어 라벤더가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 복숭아를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
인도네시아 프린자,INDONESIA FRINSA,"피스타치오, 카다멈, 사과, 레몬그라스",미디엄 라이트,워시드,"안둥가사르, 보르보르, 카티카, 아텡","1,400 - 1,700 MASL",,인도네시아 자바,2024년 12월,싱글오리진,385.0,"인도네시아 자바 지역의 개성이 담긴 이 커피에서는 피스타치오가 먼저 맑게 피어나고, 이어 카다멈이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 사과를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 여러 품종이 겹쳐 만들어 내는 복합성이 향미의 층을 보다 풍부하게 채워 줍니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 조나단 가스카,COLOMBIA JHONATAN GASCA,"블랙커런트, 체리, 라즈베리, 선드라이 토마토",미디엄,내추럴,콜롬비아,1540 MASL,,콜롬비아 우일라 브루셀라스,2024년 11월,싱글오리진,383.0,"콜롬비아 우일라 브루셀라스 지역의 개성이 담긴 이 커피에서는 블랙커런트가 먼저 맑게 피어나고, 이어 체리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 라즈베리를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 콜롬비아 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
인도네시아 리웅구눙,INDONESIA RIUNGGUNUNG,"스파클링 와인, 레몬그라스, 히비스커스, 핑크페퍼",미디엄,무산소 내추럴,"Andungasari, Bor Bor, Kartika, Ateng","1,600-1,650 MASL",,인도네시아 자바,2024년 11월,싱글오리진,382.0,"인도네시아 자바 지역의 개성이 담긴 이 커피에서는 스파클링 와인이 먼저 맑게 피어나고, 이어 레몬그라스가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 히비스커스를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 여러 품종이 겹쳐 만들어 내는 복합성이 향미의 층을 보다 풍부하게 채워 줍니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
페루 살칸타이,PERU SALKANTAY,"코코아, 바닐라, 헤이즐넛, 감귤",미디엄,워시드,"티피카, 카투라, 버번","1,800 - 2,000 MASL",,페루 쿠스코 라 콘벤시온,2024년 11월,싱글오리진,381.0,"페루 쿠스코 라 콘벤시온 지역의 개성이 담긴 이 커피에서는 코코아가 먼저 맑게 피어나고, 이어 바닐라가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 헤이즐넛을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 하로 와추,ETHIOPIA HARO WACHU,"라벤더, 재스민, 블루베리, 유자",미디엄,내추럴,"74110, 74112","2,300 MASL",,에티오피아 구지 우라가,2024년 11월,싱글오리진,380.0,"에티오피아 구지 우라가 지역의 개성이 담긴 이 커피에서는 라벤더가 먼저 맑게 피어나고, 이어 재스민이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 블루베리를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 여러 품종이 겹쳐 만들어 내는 복합성이 향미의 층을 보다 풍부하게 채워 줍니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
르완다 아바다테주카,RWANDA ABADATEZUKA,"잣엿, 카라카라 오렌지, 포멜로",라이트,워시드,버번,"1,850-2,200 MASL",,르완다 서부(Wetern Province),2024년 10월,싱글오리진,379.0,"르완다 서부(Wetern Province) 지역의 개성이 담긴 이 커피에서는 잣엿이 먼저 맑게 피어나고, 이어 카라카라 오렌지가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 포멜로를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
부룬디 마샤,BURUNDI MASHA,"리치, 살구, 아카시아 꿀",미디엄 라이트,허니,버번,"1,672 MASL",,카얀자(Kayanza),2024년10월,싱글오리진,378.0,"카얀자(Kayanza) 지역의 개성이 담긴 이 커피에서는 리치가 먼저 맑게 피어나고, 이어 살구가 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 아카시아 꿀을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
에티오피아 아놀레,ETHIOPIA ANOLE,"만다린 오렌지, 재스민, 실론티",라이트,워시드,토착종,"1,950-2,250 MASL",,"구지 함벨라 데리 키다메(Deri Kidame, Hambela, Guji, Ethiopia)",2024년10월,싱글오리진,377.0,"구지 함벨라 데리 키다메(Deri Kidame, Hambela, Guji, Ethiopia) 지역의 개성이 담긴 이 커피에서는 만다린 오렌지가 먼저 맑게 피어나고, 이어 재스민이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 실론티를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 높은 재배고도는 향을 더욱 선명하고 입체적으로 드러내며, 산미를 맑고 길게 이어지게 합니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
과테말라 라 에스메랄다 58,GUATEMALA LA ESMERALDA 58,"바스마티 라이스, 통밀 크래커, 조청",미디엄 라이트,워시드,"파체, 버번, 사치모르",,,,2024년 1월,싱글오리진,342.0,"이 커피에서는 바스마티 라이스가 먼저 맑게 피어나고, 이어 통밀 크래커가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 조청을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 비야라조 타비 워시드,COLOMBIA VILLARAZO TABI WASHED,"밀크캐러멜, 스카치 캔디, 다크초콜릿",미디엄,워시드,타비(Tabi),,,,2024년 1월,싱글오리진,340.0,"이 커피에서는 밀크캐러멜이 먼저 맑게 피어나고, 이어 스카치 캔디가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 다크초콜릿을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 타비(Tabi) 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 하마쇼 인터벌 프로세스,ETHIOPIA HAMASHO INTERVAL PROCESS,"엘더플라워, 애플사이더, 얼그레이, 수박",미디엄 라이트,워시드(인터벌 프로세스),토착종,,,,2024년 2월,싱글오리진,346.0,"이 커피에서는 엘더플라워가 먼저 맑게 피어나고, 이어 애플사이더가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 얼그레이를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
과테말라 라 누에바 몬타냐,,"깔루아, 밀크초콜릿, 바닐라",미디엄,내추럴,카투아이,,,,2024년 2월,싱글오리진,343.0,"이 커피에서는 깔루아가 먼저 맑게 피어나고, 이어 밀크초콜릿이 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 바닐라를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투아이 계열의 친숙한 단맛과 안정적인 밸런스가 편안한 인상을 더합니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 베켈레 카차라,ETHIOPIA BEKELE KACHARA,"라벤더, 라즈베리, 피노누아, 리치",미디엄,워시드,토착종,,,,2024년 3월,싱글오리진,348.0,"이 커피에서는 라벤더가 먼저 맑게 피어나고, 이어 라즈베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 피노누아를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
과테말라 로스 아르코스,GUATEMALA LOS ARCOS,"피칸, 흑설탕, 사과대추",미디엄,워시드,"파체(Pache), 카투아이(Catuai)",,,,2024년 3월,싱글오리진,347.0,"이 커피에서는 피칸이 먼저 맑게 피어나고, 이어 흑설탕이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 사과대추를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투아이 계열의 친숙한 단맛과 안정적인 밸런스가 편안한 인상을 더합니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
개화,GAEHWA,"재스민 꽃, 아카시아, 복숭아, 꿀",미디엄 라이트,,,,,,2024년 3월,블렌드,37.0,"이 커피에서는 재스민 꽃이 먼저 맑게 피어나고, 이어 아카시아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 복숭아를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
에티오피아 고티티,ETHIOPIA GOTITI,"라벤더, 블루베리, 살구",미디엄,워시드,토착종,,,,2024년 4월,싱글오리진,351.0,"이 커피에서는 라벤더가 먼저 맑게 피어나고, 이어 블루베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 살구를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
콜롬비아 라 프리마베라 핑크버번,COLOMBIA LA PRIMAVERA PINK BOURBON,"레드자몽, 석류, 리치, 망고",미디엄 라이트,워시드,핑크 버번,,,,2024년 4월,싱글오리진,350.0,"이 커피에서는 레드자몽이 먼저 맑게 피어나고, 이어 석류가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 리치를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 핑크 버번이 보여 주는 화사한 향과 달콤한 산미가 컵의 인상을 더욱 세련되게 만듭니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
온두라스 몬테시요스,HONDURAS MONTECILLOS,"유과, 사과, 캐러멜",미디엄,워시드,버번,,,,2024년 4월,싱글오리진,349.0,"이 커피에서는 유과가 먼저 맑게 피어나고, 이어 사과가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 캐러멜을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 과하지 않게 정리되면서도 전체 인상은 또렷하게 오래 남습니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
브라질 사맘바이아 오바타,BRAZIL SAMAMBAIA OBATA,"헤이즐넛, 바닐라, 캐러멜",미디엄 라이트,무산소 내추럴,오바타(Obata),,,,2024년 5월,싱글오리진,354.0,"이 커피에서는 헤이즐넛이 먼저 맑게 피어나고, 이어 바닐라가 부드럽게 겹쳐지며 첫인상을 형성합니다. 발효에서 비롯된 입체적인 인상이 더해져 향미의 층위가 한층 깊어지고 중반부로 갈수록 캐러멜을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 오바타(Obata) 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 우쉬우쉬 인터벌 프로세스,ETHIOPIA WUSH WUSH INTERVAL PROCESS,"캐모마일, 오레가노, 자두, 히비스커스",미디엄,워시드(인터벌 프로세스),토착종,,,,2024년 5월,싱글오리진,353.0,"이 커피에서는 캐모마일이 먼저 맑게 피어나고, 이어 오레가노가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 자두를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 깨끗하고 화사하게 정리되며, 잔향에는 꽃 향기 같은 가벼운 울림이 오래 남습니다. 섬세한 향의 결와 맑은 산미를 선호하시는 분들께 특히 인상적으로 다가갈 원두입니다."
디어,DEAR,"블루베리 잼, 다크초콜릿, 블랙커런트",미디엄 다크,,,,,,2024년 5월,블렌드,38.0,"이 커피에서는 블루베리 잼이 먼저 맑게 피어나고, 이어 다크초콜릿이 부드럽게 겹쳐지며 첫인상을 형성합니다. 가공 방식이 만드는 결도 과하지 않게 정돈되어 중반부로 갈수록 블랙커런트를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 품종이 지닌 고유한 개성 또한 컵의 균형을 안정감 있게 받쳐 줍니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
콜롬비아 라 혼다 핑크 버번,COLOMBIA LA HONDA PINK BOURBON,"스카치 캔디, 메이플 시럽, 구운 아몬드",미디엄,허니,핑크 버번,,,,2024년 5월,싱글오리진,352.0,"이 커피에서는 스카치 캔디가 먼저 맑게 피어나고, 이어 메이플 시럽이 부드럽게 겹쳐지며 첫인상을 형성합니다. 허니 프로세스가 단맛과 질감을 부드럽게 이어 주며 컵의 결을 매끈하게 다듬고 중반부로 갈수록 구운 아몬드를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 핑크 버번이 보여 주는 화사한 향과 달콤한 산미가 컵의 인상을 더욱 세련되게 만듭니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
브라질 벨라 비스타,BRAZIL BELA VISTA,"누텔라, 피칸파이, 사과말랭이",미디엄 다크,내추럴,아라라(Arara),,,,2024년 6월,싱글오리진,356.0,"이 커피에서는 누텔라가 먼저 맑게 피어나고, 이어 피칸파이가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 사과말랭이를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 아라라 품종이 지닌 밝고 경쾌한 과일 인상이 전체 향미를 한층 생기 있게 만듭니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
에티오피아 두로미나,ETHIOPIA DUROMINA,"살구, 납작복숭아, 아이스티, 레몬밤",미디엄,워시드,토착종,,,,2024년 6월,싱글오리진,355.0,"이 커피에서는 살구가 먼저 맑게 피어나고, 이어 납작복숭아가 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 아이스티를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 에티오피아 계열 품종 특유의 야생화 같은 향과 복합성이 잔 안에서 자연스럽게 펼쳐집니다. 고도에서 오는 인상도 전체 컵을 균형감 있게 받쳐 줍니다. 끝맛은 과하지 않게 정리되면서도 전체 인상은 또렷하게 오래 남습니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
부룬디 투리함웨,BURUNDI TURIHAMWE,"밤, 야생 꿀, 오미자",미디엄 라이트,워시드,버번,"1,750 MASL",,부룬디 응고지(Burundi Ngozi),2024년 9월,싱글오리진,376.0,"부룬디 응고지(Burundi Ngozi) 지역의 개성이 담긴 이 커피에서는 밤이 먼저 맑게 피어나고, 이어 야생 꿀이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 오미자를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
콜롬비아 라우렐레스,COLOMBIA LAURELES,"호박, 금귤, 골드키위, 시나몬",미디엄 라이트,워시드,"카스티요, 콜롬비아, 카투라","1,540 MASL",,콜롬비아 우일라 브루셀라스,2024년 9월,싱글오리진,375.0,"콜롬비아 우일라 브루셀라스 지역의 개성이 담긴 이 커피에서는 호박이 먼저 맑게 피어나고, 이어 금귤이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 골드키위를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 카투라가 지닌 정돈된 산미와 단맛의 균형이 컵을 안정감 있게 이끕니다. 상대적으로 안정적인 재배고도에서 오는 편안한 단맛과 둥근 바디가 컵 전반에 자연스럽게 남습니다. 끝맛은 가볍고 투명하게 정리되며, 여운은 길고 깨끗하게 이어집니다. 천천히 식혀 마실수록 표정이 달라지는 매력을 지닌 원두입니다."
페루 와이나파타,PERU HUAYNAPATA,"팥양갱, 초콜릿, 핑크 자몽",미디엄,워시드,"티피카, 버번","1,700-1,900 MASL",,페루 쿠스코 칼카 야나틸레,2024년 9월,싱글오리진,374.0,"페루 쿠스코 칼카 야나틸레 지역의 개성이 담긴 이 커피에서는 팥양갱이 먼저 맑게 피어나고, 이어 초콜릿이 부드럽게 겹쳐지며 첫인상을 형성합니다. 워시드 특유의 투명한 질감이 향미의 경계를 또렷하게 세워 주고 중반부로 갈수록 핑크 자몽을 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 버번 계열 특유의 부드러운 단맛과 둥근 질감이 전체 인상을 한층 매끄럽게 정리합니다. 충분한 재배고도 덕분에 산미와 향의 윤곽이 뚜렷하게 살아나며 컵의 투명감이 좋아집니다. 마무리는 차분하고 매끈하게 이어지며, 달콤쌉싸름한 뉘앙스가 안정감 있게 남습니다. 편안한 단맛과 안정적인 바디를 선호하시는 분들께 만족도가 높습니다."
콜롬비아 엘 디비소 옴블리곤,COLOMBIA EL DIVISO OMBLIGON,"체리 리큐르, 아사이 베리, 골드키위, 엘더플라워",미디엄 라이트,내추럴,옴블리곤,"1,750 MASL",,,2024년 8월,싱글오리진,366.0,"이 커피에서는 체리 리큐르가 먼저 맑게 피어나고, 이어 아사이 베리가 부드럽게 겹쳐지며 첫인상을 형성합니다. 과실의 농도감이 자연스럽게 확장되며 보다 풍성한 단맛으로 이어지고 중반부로 갈수록 골드키위를 떠올리게 하는 뉘앙스가 한층 또렷해집니다. 옴블리곤 품종이 지닌 고유한 성격이 컵의 개성을 또렷하게 만들어 줍니다. 중고도의 재배 환경이 단맛과 산미의 균형을 잘 잡아 주며 부드러운 구조감을 만들어 냅니다. 후반부로 갈수록 과실의 농도감이 부드럽게 번지며 생기 있는 피니시를 남깁니다. 화려한 과실감과 복합적인 향미를 즐기시는 분들께 좋은 선택이 됩니다."
